system:index,date,timestamp,.geo
233,2017-07-25,1.500941069E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,2017-07-27,1.501135239702E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,2017-07-27,1.501135280465E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,2017-07-31,1.501545357E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,2017-07-31,1.501545382E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,2017-08-03,1.501762336E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,2017-08-06,1.501977844E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,2017-08-06,1.501977869E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,2017-08-12,1.502582157E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,2017-08-12,1.502582182E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,2017-08-15,1.502799136E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,2017-08-18,1.503014645E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,2017-08-18,1.50301467E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,2017-08-24,1.503618958E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,2017-08-24,1.503618983E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,2017-08-27,1.503835937E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,2017-09-02,1.504331622843E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,2017-09-02,1.504331663605E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,2017-09-05,1.504655758E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,2017-09-05,1.504655783E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,2017-09-07,1.504764040012E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,2017-09-07,1.504764080774E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,2017-09-08,1.504872737E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,2017-09-11,1.505088246E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,2017-09-11,1.505088271E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,2017-09-17,1.505692559E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,2017-09-17,1.505692584E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,2017-09-20,1.505909538E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,2017-09-23,1.506125046E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,2017-09-23,1.506125071E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,2017-09-29,1.506729359E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,2017-09-29,1.506729384E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,2017-10-02,1.506946338E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,2017-10-05,1.507161846E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
